abies fraseri
sclerochloa dura
scolymus hispanicus
scolymus maculatus
scorpiurus muricatus
scrophularia canina
scutellaria galericulata
securigera varia
sedum acre
sedum hispanicum
sedum spurium
selaginella densa
selaginella selaginoides
selinum carvifolia
senecio eremophilus
senecio inaequidens
senecio jacobaea
senecio sylvaticus
senecio viscosus
senecio vulgaris
sesuvium portulacastrum
setaria pumila
setaria verticillata
setaria viridis
shepherdia canadensis
schoenoplectus pungens
schoenoplectus tabernaemontani
schoenus nigricans
sibbaldiopsis tridentata
silene acaulis
silene armeria
silene conica
silene dioica
silene latifolia
silene noctiflora
silene vulgaris
sinapis arvensis
sisymbrium altissimum
sisymbrium officinale
sisyrinchium montanum
sisyrinchium septentrionale
sium suave
solanum incanum
solanum marginatum
solanum nigrum
solanum triflorum
solanum tuberosum
solidago canadensis
solidago gigantea
solidago missouriensis
sonchus arvensis
sonchus asper
sonchus oleraceus
sparganium natans
spergula morisonii
spergularia maritima
spergularia rubra
sphaeralcea coccinea
spigelia marilandica
spiraea chamaedryfolia
spiraea japonica
spiraea salicifolia
spiranthes romanzoffiana
stachys pilosa
stachys sylvatica
stellaria alsine
stellaria graminea
stellaria media
stellaria neglecta
stellaria pallida
stipa capillata
striga asiatica
striga gesnerioides
stuckenia pectinata
stylophorum diphyllum
succisa pratensis
succisella inflexa
symphoricarpos albus
symphyotrichum ericoides
symphyotrichum laeve
symphyotrichum lanceolatum
symphyotrichum novi-belgii
symphyotrichum squamatum
symphytum tuberosum
syringa vulgaris
taeniatherum caput-medusae
tagetes patula
tamarix africana
tamarix canariensis
tanacetum bipinnatum
tanacetum vulgare
taraxacum sect
taxodium distichum
tecoma stans
teucrium scorodonia
thelypteris dentata
thelypteris palustris
thlaspi arvense
thlaspi perfoliatum
thunbergia alata
thymelaea passerina
tillaea aquatica
tillandsia usneoides
tofieldia pusilla
tolpis barbata
torilis arvensis
torilis japonica
tragopogon dubius
tragopogon hybridus
tragopogon orientalis
tragopogon porrifolius
tragopogon pratensis
trapa natans
trautvetteria caroliniensis
triantha glutinosa
tribulus cistoides
tribulus terrestris
trientalis europaea
trifolium aureum
trifolium campestre
trifolium dubium
trifolium hybridum
trifolium incarnatum
trifolium medium
trifolium pratense
trifolium resupinatum
trifolium striatum
triglochin palustris
trichophorum alpinum
trichophorum cespitosum
trichophorum pumilum
trillium grandiflorum
trillium sessile
tripleurospermum inodorum
trisetum flavescens
triticum aestivum
trollius albiflorus
tropaeolum majus
tsuga canadensis
tsuga caroliniana
typha angustifolia
typha latifolia
ulex europaeus
urtica dioica
urtica urens
utricularia intermedia
utricularia minor
utricularia ochroleuca
uvularia grandiflora
vaccaria hispanica
vaccinium gaultherioides
vaccinium membranaceum
